2026-03-18 15:38:15 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:16 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 25, season 2026
2026-03-18 15:38:17 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:18 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 25, season 2026
2026-03-18 15:38:19 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:19 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 82, season 2026
2026-03-18 15:38:19 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:20 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 82, season 2026
2026-03-18 15:38:21 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:22 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 82, season 2026
2026-03-18 15:38:22 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:38:22 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 25, season 2026
2026-03-18 15:38:23 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 82, season 2026
2026-03-18 15:38:24 | INFO     | cbb_totals.src.pipeline.daily_pipeline | Features built for 10/10 games.
